company_name,ticker,is_etf
케이엠더블유,032500.KQ,False
인바디,041830.KQ,False
우리기술,032820.KQ,False
필에너지,378340.KQ,False
뉴로메카,348340.KQ,False
인탑스,049070.KQ,False
프레스티지바이오로직스,334970.KQ,False
하이록코리아,013030.KQ,False
윤성에프앤씨,372170.KQ,False
신라젠,215600.KQ,False
삼표시멘트,038500.KQ,False
에이치브이엠,295310.KQ,False
듀켐바이오,176750.KQ,False
인화정공,101930.KQ,False
솔트룩스,304100.KQ,False
NHN KCP,060250.KQ,False
유진로봇,056080.KQ,False
원익홀딩스,030530.KQ,False
폴라리스오피스,041020.KQ,False
인터로조,119610.KQ,False
디아이티,110990.KQ,False
감성코퍼레이션,036620.KQ,False
메디포스트,078160.KQ,False
GRT,900290.KQ,False
아스트,067390.KQ,False
하림,136480.KQ,False
엣지파운드리,105550.KQ,False
코오롱생명과학,102940.KQ,False
한양이엔지,045100.KQ,False
아스테라시스,450950.KQ,False
월덱스,101160.KQ,False
마녀공장,439090.KQ,False
미코,059090.KQ,False
바텍,043150.KQ,False
휴온스,243070.KQ,False
세경하이테크,148150.KQ,False
토비스,051360.KQ,False
프로텍,053610.KQ,False
SG,255220.KQ,False
휴림로봇,090710.KQ,False
샘씨엔에스,252990.KQ,False
아이티엠반도체,084850.KQ,False
아주IB투자,027360.KQ,False
삼목에스폼,018310.KQ,False
갤럭시아머니트리,094480.KQ,False
코미팜,041960.KQ,False
한국비엔씨,256840.KQ,False
에코마케팅,230360.KQ,False
인카금융서비스,211050.KQ,False
에치에프알,230240.KQ,False
넵튠,217270.KQ,False
예스티,122640.KQ,False
글로벌텍스프리,204620.KQ,False
한국정보통신,025770.KQ,False
탑머티리얼,360070.KQ,False
코난테크놀로지,402030.KQ,False
에스바이오메딕스,304360.KQ,False
하이비젼시스템,126700.KQ,False
슈어소프트테크,298830.KQ,False
원익머트리얼즈,104830.KQ,False
엠아이텍,179290.KQ,False
자람테크놀로지,389020.KQ,False
에이스침대,003800.KQ,False
유니테스트,086390.KQ,False
미래나노텍,095500.KQ,False
석경에이티,357550.KQ,False
AP시스템,265520.KQ,False
미래에셋벤처투자,100790.KQ,False
로체시스템즈,071280.KQ,False
에스에이엠티,031330.KQ,False
이스트소프트,047560.KQ,False
매일유업,267980.KQ,False
에이디테크놀로지,200710.KQ,False
지엔씨에너지,119850.KQ,False
CMG제약,058820.KQ,False
KG에코솔루션,151860.KQ,False
모트렉스,118990.KQ,False
제이브이엠,054950.KQ,False
JTC,950170.KQ,False
로보스타,090360.KQ,False
태웅,044490.KQ,False
성우,458650.KQ,False
동방메디컬,240550.KQ,False
모티브링크,463480.KQ,False
유진기업,023410.KQ,False
에이텍,045660.KQ,False
상아프론테크,089980.KQ,False
비덴트,121800.KQ,False
인선이엔티,060150.KQ,False
삼양엔씨켐,482630.KQ,False
아바코,083930.KQ,False
디오,039840.KQ,False
엑스게이트,356680.KQ,False
텔레칩스,054450.KQ,False
브릿지바이오테라퓨틱스,288330.KQ,False
CJ프레시웨이,051500.KQ,False
인트로메딕,150840.KQ,False
HB테크놀러지,078150.KQ,False
와이씨켐,112290.KQ,False
우주일렉트로,065680.KQ,False
큐리옥스바이오시스템즈,445680.KQ,False
강원에너지,114190.KQ,False
인터플렉스,051370.KQ,False
셀리버리,268600.KQ,False
아나패스,123860.KQ,False
KG이니시스,035600.KQ,False
한중엔시에스,107640.KQ,False
이트론,096040.KQ,False
제일일렉트릭,199820.KQ,False
LB세미콘,061970.KQ,False
시너지이노베이션,048870.KQ,False
노머스,473980.KQ,False
동국산업,005160.KQ,False
레드캡투어,038390.KQ,False
오리엔탈정공,014940.KQ,False
에스피소프트,443670.KQ,False
토모큐브,475960.KQ,False
위지윅스튜디오,299900.KQ,False
KH바텍,060720.KQ,False
스마트레이더시스템,424960.KQ,False
펨트론,168360.KQ,False
제테마,216080.KQ,False
오로스테크놀로지,322310.KQ,False
파멥신,208340.KQ,False
큐브엔터,182360.KQ,False
한솔아이원스,114810.KQ,False
에스오에스랩,464080.KQ,False
어보브반도체,102120.KQ,False
대아티아이,045390.KQ,False
디앤씨미디어,263720.KQ,False
앱클론,174900.KQ,False
폴라리스AI,039980.KQ,False
바이오솔루션,086820.KQ,False
동국생명과학,303810.KQ,False
리파인,377450.KQ,False
HB솔루션,297890.KQ,False
LS증권,078020.KQ,False
제이엘케이,322510.KQ,False
퀄리타스반도체,432720.KQ,False
에브리봇,270660.KQ,False
이엔셀,456070.KQ,False
가비아,079940.KQ,False
뉴파워프라즈마,144960.KQ,False
뷰웍스,100120.KQ,False
피에이치에이,043370.KQ,False
유니셈,036200.KQ,False
브이엠,089970.KQ,False
오상헬스케어,036220.KQ,False
압타바이오,293780.KQ,False
에스와이스틸텍,365330.KQ,False
진성티이씨,036890.KQ,False
푸른소나무,057880.KQ,False
티에프이,425420.KQ,False
박셀바이오,323990.KQ,False
휴마시스,205470.KQ,False
파인엠텍,441270.KQ,False
티엘비,356860.KQ,False
파이버프로,368770.KQ,False
비츠로테크,042370.KQ,False
다날,064260.KQ,False
사람인,143240.KQ,False
루미르,474170.KQ,False
SAMG엔터,419530.KQ,False
쇼박스,086980.KQ,False
동원개발,013120.KQ,False
미래컴퍼니,049950.KQ,False
대명에너지,389260.KQ,False
덕산하이메탈,077360.KQ,False
HLB바이오스텝,278650.KQ,False
AP위성,211270.KQ,False
디지털대성,068930.KQ,False
케이프,064820.KQ,False
쿠콘,294570.KQ,False
에코아이,448280.KQ,False
브랜드엑스코퍼레이션,337930.KQ,False
한국정보인증,053300.KQ,False
엑세스바이오,950130.KQ,False
나무가,190510.KQ,False
에스와이,109610.KQ,False
대화제약,067080.KQ,False
제닉,123330.KQ,False
아미코젠,092040.KQ,False
해성산업,034810.KQ,False
셀비온,308430.KQ,False
제넥신,095700.KQ,False
덱스터,206560.KQ,False
풍원정밀,371950.KQ,False
네패스,033640.KQ,False
에이럭스,475580.KQ,False
앱트뉴로사이언스,270520.KQ,False
이화전기,024810.KQ,False
신흥에스이씨,243840.KQ,False
액션스퀘어,205500.KQ,False
퓨런티어,370090.KQ,False
티이엠씨,425040.KQ,False
노바텍,285490.KQ,False
아이에스티이,212710.KQ,False
파워로직스,047310.KQ,False
쓰리빌리언,394800.KQ,False
티로보틱스,117730.KQ,False
엠케이전자,033160.KQ,False
모두투어,080160.KQ,False
큐리언트,115180.KQ,False
슈프리마,236200.KQ,False
마이크로디지탈,305090.KQ,False
하나기술,299030.KQ,False
네오팜,092730.KQ,False
랩지노믹스,084650.KQ,False
미래반도체,254490.KQ,False
탑런토탈솔루션,336680.KQ,False
엠에스오토텍,123040.KQ,False
BGF에코머티리얼즈,126600.KQ,False
우진엔텍,457550.KQ,False
오리엔트정공,065500.KQ,False
켄코아에어로스페이스,274090.KQ,False
현대사료,016790.KQ,False
이노스페이스,462350.KQ,False
유비케어,032620.KQ,False
멀티캠퍼스,067280.KQ,False
케이티알파,036030.KQ,False
폰드그룹,472850.KQ,False
씨어스테크놀로지,458870.KQ,False
대동기어,008830.KQ,False
한국알콜,017890.KQ,False
아가방컴퍼니,013990.KQ,False
드림시큐리티,203650.KQ,False
영풍정밀,036560.KQ,False
케이엔솔,053080.KQ,False
톱텍,108230.KQ,False
와이즈넛,096250.KQ,False
안트로젠,065660.KQ,False
코윈테크,282880.KQ,False
넥스트칩,396270.KQ,False
피노,033790.KQ,False
엘오티베큠,083310.KQ,False
원준,382840.KQ,False
이지홀딩스,035810.KQ,False
아이스크림미디어,461300.KQ,False
에이비온,203400.KQ,False
케이에스피,073010.KQ,False
인텍플러스,064290.KQ,False
와이지-원,019210.KQ,False
경동제약,011040.KQ,False
와이팜,332570.KQ,False
유비쿼스홀딩스,078070.KQ,False
엑시콘,092870.KQ,False
이수앱지스,086890.KQ,False
알멕,354320.KQ,False
와이엠티,251370.KQ,False
흥구석유,024060.KQ,False
그래디언트,035080.KQ,False
CG인바이츠,083790.KQ,False
케이피에스,256940.KQ,False
한국파마,032300.KQ,False
잉글우드랩,950140.KQ,False
컴투스홀딩스,063080.KQ,False
모다이노칩,080420.KQ,False
한국캐피탈,023760.KQ,False
아티스트유나이티드,321820.KQ,False
국전약품,307750.KQ,False
에이스테크,088800.KQ,False
큐알티,405100.KQ,False
컨텍,451760.KQ,False
아이디스,143160.KQ,False
에스앤디,260970.KQ,False
나이스정보통신,036800.KQ,False
나이벡,138610.KQ,False
엔케이맥스,182400.KQ,False
현대에버다임,041440.KQ,False
씨티씨바이오,060590.KQ,False
KG모빌리언스,046440.KQ,False
마크로젠,038290.KQ,False
한양디지텍,078350.KQ,False
아이엠비디엑스,461030.KQ,False
씨에스베어링,297090.KQ,False
이노와이어리스,073490.KQ,False
딥노이드,315640.KQ,False
이지바이오,353810.KQ,False
서울바이오시스,092190.KQ,False
보광산업,225530.KQ,False
한국전자금융,063570.KQ,False
이랜시스,264850.KQ,False
와이솔,122990.KQ,False
디케이티,290550.KQ,False
크레버스,096240.KQ,False
온코닉테라퓨틱스,476060.KQ,False
알에스오토메이션,140670.KQ,False
라이프시맨틱스,347700.KQ,False
아톤,158430.KQ,False
씨앤지하이테크,264660.KQ,False
녹십자웰빙,234690.KQ,False
나스미디어,089600.KQ,False
네패스아크,330860.KQ,False
비나텍,126340.KQ,False
매커스,093520.KQ,False
인벤티지랩,389470.KQ,False
지투파워,388050.KQ,False
KX,122450.KQ,False
