company_name,ticker,is_etf
KODEX 26-12 회사채(AA-이상)액티브,473290.KS,True
KODEX 은행,091170.KS,True
KODEX 국고채10년액티브,471230.KS,True
KODEX ESG종합채권(A-이상)액티브,439860.KS,True
KODEX 미국30년국채울트라선물(H),304660.KS,True
KODEX 미국배당다우존스,489250.KS,True
KODEX 25-11 회사채(A+이상)액티브,467940.KS,True
KODEX 테슬라커버드콜채권혼합액티브,475080.KS,True
KODEX 코스닥150선물인버스,251340.KS,True
KODEX 200타겟위클리커버드콜,498400.KS,True
KODEX 200액티브,494890.KS,True
KODEX 미국달러선물인버스2X,261260.KS,True
KODEX 2차전지산업레버리지,462330.KS,True
KODEX 미국배당커버드콜액티브,441640.KS,True
KODEX 골드선물(H),132030.KS,True
KODEX 단기변동금리부채권액티브,273140.KS,True
KODEX 미국서학개미,473460.KS,True
KODEX TRF3070,329650.KS,True
KODEX 장기종합채권(AA-이상)액티브,363570.KS,True
KODEX TDF2050액티브,434060.KS,True
KODEX 차이나항셍테크,372330.KS,True
KODEX 코리아밸류업,495850.KS,True
KODEX 한국부동산리츠인프라,476800.KS,True
KODEX K-로봇액티브,445290.KS,True
KODEX 미국S&P500선물(H),219480.KS,True
KODEX 바이오,244580.KS,True
KODEX 미국종합채권ESG액티브(H),437080.KS,True
KODEX AI전력핵심설비,487240.KS,True
KODEX 2차전지핵심소재10,461950.KS,True
KODEX 미국AI테크TOP10,485540.KS,True
KODEX 미국배당다우존스타겟커버드콜,483290.KS,True
KODEX 27-12 회사채(AA-이상)액티브,0007F0.KS,True
KODEX 차이나CSI300,283580.KS,True
KODEX 미국나스닥100선물(H),304940.KS,True
KODEX 금융고배당TOP10타겟위클리커버드콜,498410.KS,True
KODEX AI반도체핵심장비,471990.KS,True
KODEX K-메타버스액티브,401470.KS,True
KODEX 은선물(H),144600.KS,True
KODEX 미국S&P500데일리커버드콜OTM,0005A0.KS,True
KODEX 200미국채혼합,284430.KS,True
KODEX 성장주,325010.KS,True
KODEX 배당가치,325020.KS,True
KODEX 삼성그룹밸류,213610.KS,True
KODEX 반도체레버리지,494310.KS,True
KODEX 삼성전자채권혼합,448330.KS,True
KODEX 헬스케어,266420.KS,True
KODEX 글로벌비만치료제TOP2 Plus,476070.KS,True
KODEX TRF5050,329660.KS,True
KODEX 차이나H레버리지(H),204450.KS,True
KODEX 미국10년국채선물,308620.KS,True
KODEX 아시아달러채권ESG플러스액티브,437070.KS,True
KODEX 미국달러선물,261240.KS,True
KODEX TRF7030,329670.KS,True
KODEX 미국달러선물인버스,261270.KS,True
KODEX 미국메타버스나스닥액티브,411420.KS,True
KODEX 미국러셀2000(H),280930.KS,True
KODEX WTI원유선물(H),271050.KS,True
KODEX 미국S&P500금융,453650.KS,True
KODEX Top10동일가중,395170.KS,True
KODEX 차이나H,099140.KS,True
KODEX 시스템반도체,395160.KS,True
KODEX 미디어&엔터테인먼트,266360.KS,True
KODEX K-신재생에너지액티브,385510.KS,True
KODEX iShares미국하이일드액티브,468380.KS,True
KODEX WTI원유선물인버스(H),271050.KS,True
KODEX 미국달러선물레버리지,261250.KS,True
KODEX 국채선물10년,152380.KS,True
KODEX 코스피TR,359210.KS,True
KODEX 미국S&P500배당귀족커버드콜(합성 H),276970.KS,True
KODEX 인도타타그룹,477730.KS,True
KODEX 건설,117700.KS,True
KODEX 코스피100,237350.KS,True
KODEX 200ESG,337160.KS,True
KODEX 고배당,279530.KS,True
KODEX 증권,102970.KS,True
KODEX 200IT TR,363580.KS,True
KODEX 유럽탄소배출권선물ICE(H),400570.KS,True
KODEX K-친환경조선해운액티브,445150.KS,True
KODEX 미국부동산리츠(H),352560.KS,True
KODEX TDF2040액티브,433980.KS,True
KODEX 미국테크1조달러기업포커스,491090.KS,True
KODEX 한국대만IT프리미어,298770.KS,True
KODEX 미국나스닥100선물인버스(H),409810.KS,True
KODEX 미국S&P500산업재(합성),200030.KS,True
KODEX 차이나심천ChiNext(합성),256750.KS,True
KODEX 일본TOPIX100,101280.KS,True
